0x0000,Exploits,1,4/5/2022,12:02:55,4/5/2022,12:02:55
2800:150:14c:697:*,DoS,91,4/5/2022,12:02:55,4/5/2022,12:03:01
54915,Exploits,44,4/5/2022,12:02:55,4/5/2022,12:03:01
61229,Exploits,1,4/5/2022,12:02:55,4/5/2022,12:02:55
50001,Exploits,3,4/5/2022,12:02:55,4/5/2022,12:02:58
https,Exploits;Generic,3;1,4/5/2022;4/5/2022,12:02:55;12:02:55,4/5/2022;4/5/2022,12:02:59;12:02:55
51612,Exploits;Generic,15;6,4/5/2022;4/5/2022,12:02:56;12:02:56,4/5/2022;4/5/2022,12:02:59;12:02:58
domain,Generic,2,4/5/2022,12:02:56,4/5/2022,12:02:58
192.168.0.15,DoS,2,4/5/2022,12:02:56,4/5/2022,12:02:57
61088,Exploits,1,4/5/2022,12:02:57,4/5/2022,12:02:57
27018,Exploits,5,4/5/2022,12:02:58,4/5/2022,12:03:00
50004,Exploits,1,4/5/2022,12:02:58,4/5/2022,12:02:58
52609,Exploits,1,4/5/2022,12:03:00,4/5/2022,12:03:00
54760,Exploits;Generic,5;2,4/5/2022;4/5/2022,12:03:00;12:03:00,4/5/2022;4/5/2022,12:03:01;12:03:01
190.217.33.69,DoS,1,4/5/2022,12:03:01,4/5/2022,12:03:01
